TestID	VariantID	Project	TestClass	TestName	TrueOracle	GenOracle	Time	Corr	Incorr	BuildErr	RunErr	TestFailure
61	0	orientechnologies/orientdb	TestNullLinkInCollection	testLinkListRemovedRecord	"assertNull(((List)res.get(0).field(""STR"")).get(0));"	"assertTrue(res.get(0).field(""items"") instanceof List<?>);"	25.589346885681152	0	0	1	0	0
62	0	orientechnologies/orientdb	TestNullLinkInCollection	testLinkSetRemovedRecord	"assertNull(((Set)res.get(0).field(""STR"")).iterator().next());"	assertEquals(1,res.size());	28.28946304321289	0	0	1	0	0
63	0	orientechnologies/orientdb	CheckClassTypeStepTest	shouldCheckSubclasses	assertEquals(0,result.stream().count());	assertNotNull(database);	25.17706608772278	0	0	1	0	0
64	0	orientechnologies/orientdb	CheckClassTypeStepTest	shouldCheckOneType	assertEquals(0,result.stream().count());	assertThat(result.spliterator().getExactSizeIfKnown()).isEqualTo(20);	25.525097131729126	0	0	1	0	0
65	0	orientechnologies/orientdb	CheckClusterTypeStepTest	shouldCheckClusterType	assertEquals(0,result.stream().count());	assertTrue(result.stream().isParallel());	25.509053945541382	0	0	1	0	0
66	0	orientechnologies/orientdb	ODocumentSchemalessBinarySerializationTest	testSimpleEmbeddedDoc	assertEquals(document.fields(),extr.fields());	assertEquals(expectedFieldSize,fields());	25.20131516456604	0	0	1	0	0
67	0	orientechnologies/orientdb	ODocumentSchemalessBinarySerializationTest	testlistOfList	assertEquals(extr.fields(),document.fields());	assertEquals(_fieldSize,0);	22.97964072227478	0	0	1	0	0
68	0	orientechnologies/orientdb	ODocumentSchemalessBinarySerializationTest	testArrayOfArray	assertEquals(extr.fields(),document.fields());	assertEquals(0,fields());	25.003231048583984	0	0	1	0	0
69	0	orientechnologies/orientdb	ODocumentSchemalessBinarySerializationTest	testEmbeddedListOfEmbeddedMap	assertEquals(extr.fields(),document.fields());	"assertEquals(2,extr.field(""list"").size());"	25.349871158599854	0	0	1	0	0
70	0	orientechnologies/orientdb	ODocumentSchemalessBinarySerializationTest	testDocumentWithCostum	assertEquals(extr.getClassName(),document.getClassName());	assertEquals(true,_className != null);	24.792217254638672	0	0	1	0	0
71	0	orientechnologies/orientdb	ODocumentSchemalessBinarySerializationTest	testDocumentWithCostumDocument	assertEquals(extr.getClassName(),document.getClassName());	assertNotNull(extr.getClassName());	24.62048101425171	0	0	1	0	0
72	0	orientechnologies/orientdb	ODocumentSchemalessBinarySerializationTest	testSerializableValue	"assertNotNull(extr.field(""STR""));"	"assertNotNull(extr.field(""seri""));"	24.373401880264282	0	0	1	0	0
73	0	orientechnologies/orientdb	ODocumentSchemalessBinarySerializationTest	testFieldNames	assertNotNull(fields);	"assertArrayEquals(""b"",""c""});"	28.73812198638916	0	0	1	0	0
74	0	orientechnologies/orientdb	ODocumentSchemalessBinarySerializationTest	testFieldNamesRaw	assertNotNull(fields);	"assertArrayEquals(""b"",""c"" });"	31.492228984832764	0	0	1	0	0
75	0	orientechnologies/orientdb	ODocumentSchemalessBinarySerializationTest	testPartial	"assertEquals(document.field(""STR""),extr.<Object>field(""STR""));"	"assertEquals(""name"",extr.field(""name""));"	24.40577006340027	0	0	1	0	0
76	0	orientechnologies/orientdb	ODocumentSchemalessBinarySerializationTest	testWithRemove	"assertEquals(document.field(""STR""),extr.<Object>field(""STR""));"	"assertEquals(""name"",extr.field(""name""));"	24.668314933776855	0	0	1	0	0
77	0	orientechnologies/orientdb	ODocumentSchemalessBinarySerializationTest	testPartialCustom	"assertEquals(document.field(""STR""),extr.<Object>field(""STR""));"	"assertEquals(20,document.field(""age""));"	24.612606287002563	0	0	1	0	0
78	0	orientechnologies/orientdb	ODocumentSchemalessBinarySerializationTest	testListOfMapsWithNull	assertEquals(extr.fields(),document.fields());	assertEquals(expected,actual);	24.93736481666565	0	0	1	0	0
79	0	orientechnologies/orientdb	OCommandExecutorSQLCreatePropertyTest	testBasicCreateProperty	assertEquals(nameProperty.getName(),PROP_NAME);	assertNotNull(nameProperty);	24.448757648468018	0	0	1	0	0
80	0	orientechnologies/orientdb	OCommandExecutorSQLCreatePropertyTest	testBasicUnsafeCreateProperty	assertEquals(nameProperty.getName(),PROP_NAME);	assertEquals(PROP_NAME,nameProperty.getName());	24.706897974014282	0	0	1	0	0
81	0	orientechnologies/orientdb	OCommandExecutorSQLCreatePropertyTest	testCreatePropertyWithLinkedClass	assertEquals(nameProperty.getName(),PROP_DIVISION);	assertNotNull(nameProperty);	24.914582014083862	0	0	1	0	0
82	0	orientechnologies/orientdb	OCommandExecutorSQLCreatePropertyTest	testCreatePropertyWithEmbeddedType	assertEquals(nameProperty.getName(),PROP_OFFICERS);	assertNotNull(nameProperty);	24.869658946990967	0	0	1	0	0
83	0	orientechnologies/orientdb	OCommandExecutorSQLCreatePropertyTest	testCreateMandatoryProperty	assertEquals(nameProperty.getName(),PROP_NAME);	assertEquals(PROP_NAME,nameProperty.getName());	24.771967887878418	0	0	1	0	0
84	0	orientechnologies/orientdb	OCommandExecutorSQLCreatePropertyTest	testCreateNotNullProperty	assertEquals(nameProperty.getName(),PROP_NAME);	assertNotNull(nameProperty);	24.806580066680908	0	0	1	0	0
85	0	orientechnologies/orientdb	OCommandExecutorSQLCreatePropertyTest	testCreateReadOnlyProperty	assertEquals(nameProperty.getName(),PROP_NAME);	assertTrue(nameProperty.isReadonly());	25.13974618911743	0	0	1	0	0
86	0	orientechnologies/orientdb	OCommandExecutorSQLCreatePropertyTest	testCreateReadOnlyFalseProperty	assertEquals(nameProperty.getName(),PROP_NAME);	assertEquals(PROP_NAME,nameProperty.getName());	24.583574056625366	0	0	1	0	0
87	0	orientechnologies/orientdb	OCommandExecutorSQLCreatePropertyTest	testCreateMandatoryPropertyWithEmbeddedType	assertEquals(nameProperty.getName(),PROP_OFFICERS);	assertEquals(PROP_OFFICERS,nameProperty.getName());	25.16804790496826	0	0	1	0	0
88	0	orientechnologies/orientdb	OCommandExecutorSQLCreatePropertyTest	testCreateUnsafePropertyWithEmbeddedType	assertEquals(nameProperty.getName(),PROP_OFFICERS);	assertNotNull(nameProperty);	29.32905125617981	0	0	1	0	0
89	0	orientechnologies/orientdb	OCommandExecutorSQLCreatePropertyTest	testComplexCreateProperty	assertEquals(nameProperty.getName(),PROP_OFFICERS);	assertNotNull(nameProperty);	26.34484076499939	0	0	1	0	0
90	0	orientechnologies/orientdb	OCommandExecutorSQLCreatePropertyTest	testLinkedTypeDefaultAndMinMaxUnsafeProperty	assertEquals(idProperty.getName(),PROP_ID);	assertEquals(PROP_ID,idProperty.getName());	23.86734890937805	0	0	1	0	0
91	0	orientechnologies/orientdb	OCommandExecutorSQLCreatePropertyTest	testDefaultAndMinMaxUnsafeProperty	assertEquals(idProperty.getName(),PROP_ID);	assertNotNull(FOCAL);	22.942378997802734	0	0	1	0	0
92	0	orientechnologies/orientdb	OCommandExecutorSQLCreatePropertyTest	testExtraSpaces	assertEquals(idProperty.getName(),PROP_ID);	assertNotNull(idProperty);	25.4865620136261	0	0	1	0	0
93	0	orientechnologies/orientdb	OCommandExecutorSQLCreatePropertyTest	testNonStrict	assertEquals(idProperty.getName(),PROP_ID);	assertEquals(expectedName,<FOCAL>());	21.694440841674805	0	0	1	0	0
94	0	orientechnologies/orientdb	OCommandExecutorSQLCreatePropertyTest	testMandatoryAsLinkedName	assertEquals(idProperty.getName(),PROP_ID);	assertNotNull(idProperty.getMandatory());	25.652307987213135	0	0	1	0	0
95	0	orientechnologies/orientdb	OCommandExecutorSQLCreatePropertyTest	testIfNotExists	assertEquals(property.getName(),PROP_NAME);	"assertEquals(""name"",property.getName());"	24.695197820663452	0	0	1	0	0
96	0	orientechnologies/orientdb	OCommandExecutorSQLUpdateTest	testSingleQuoteInNamedParameter	"assertEquals(queried.field(""STR""),""STR"");"	"assertEquals(""initial value"",field(""text""));"	24.775973796844482	0	0	1	0	0
98	0	orientechnologies/orientdb	OCommandExecutorSQLUpdateTest	testQuotesInJson	"assertEquals(queried.field(""STR""),""STR"");"	"assertNotNull(queried.field(""value""));"	26.87439799308777	0	0	1	0	0
99	0	orientechnologies/orientdb	OCommandExecutorSQLUpdateTest	testDottedTargetInScript	assertNotNull(result);	assertEquals(1,result.size());	27.234626054763794	0	0	1	0	0
100	0	orientechnologies/orientdb	CountFromIndexStepTest	shouldCountRecordsOfIndex	assertEquals(20,(long)result.next().getProperty(ALIAS));	assertEquals(20,getProperty(indexName).count());	23.66385507583618	0	0	1	0	0
101	0	orientechnologies/orientdb	OAlterSequenceStatementExecutionTest	testSetIncrement	assertNotNull(result);	assertNotNull(result);	22.462926149368286	0	0	1	0	0
102	0	orientechnologies/orientdb	OBeginStatementExecutionTest	testBegin	assertTrue(db.getTransaction()==null||!db.getTransaction().isActive());	assertFalse(db.getTransaction().isActive());	28.624701976776123	0	0	1	0	0
103	0	orientechnologies/orientdb	OCommitStatementExecutionTest	testBegin	assertTrue(db.getTransaction()==null||!db.getTransaction().isActive());	assertFalse(db.getTransaction().isActive());	33.18345594406128	0	0	1	0	0
104	0	orientechnologies/orientdb	OAlterDatabaseStatementExecutionTest	testSetProperty	assertNotNull(result);	assertEquals(12,currentValue);	34.39114785194397	0	0	1	0	0
105	0	orientechnologies/orientdb	OAlterPropertyStatementExecutionTest	testSetProperty	assertNotNull(result);	"assertEquals(""30"",currentValue);"	32.52290630340576	0	0	1	0	0
106	0	orientechnologies/orientdb	OAlterPropertyStatementExecutionTest	testSetCustom	assertNotNull(result);	"assertEquals(""baz"",currentValue);"	35.12448787689209	0	0	1	0	0
108	0	orientechnologies/orientdb	OConsoleStatementExecutionTest	testLog	assertNotNull(result);	"assertEquals(""console.log 'foo bar'"",result.getExecutionPlan().get().toString());"	34.79924774169922	0	0	1	0	0
109	0	orientechnologies/orientdb	OCreateFunctionStatementExecutionTest	testPlain	assertTrue(result.hasNext());	assertTrue(result.hasNext());	33.56502294540405	0	0	1	0	0
110	0	orientechnologies/orientdb	OCreateClassStatementExecutionTest	testPlain	assertNotNull(clazz);	assertNotNull(result);	32.5618679523468	0	0	1	0	0
111	0	orientechnologies/orientdb	OCreateClassStatementExecutionTest	testAbstract	assertNotNull(clazz);	assertEquals(className,clazz.getName());	30.91138195991516	0	0	1	0	0
112	0	orientechnologies/orientdb	OCreateClassStatementExecutionTest	testCluster	assertNotNull(clazz);	assertNotNull(clazz);	37.226500034332275	0	0	1	0	0
113	0	orientechnologies/orientdb	OCreateClassStatementExecutionTest	testClusters	assertNotNull(clazz);	assertEquals(className,clazz.getName());	32.490188121795654	0	0	1	0	0
114	0	orientechnologies/orientdb	OCreateClassStatementExecutionTest	testIfNotExists	assertNotNull(clazz);	assertTrue(clazz.getName().equals(className));	38.9041850566864	0	0	1	0	0
115	0	orientechnologies/orientdb	OCreateClusterStatementExecutionTest	testPlain	assertTrue(db.getClusterIdByName(clusterName)>0);	"assertEquals(""<expected_cluster_id>"",getClusterIdByName(clusterName));"	43.80318880081177	0	0	1	0	0
116	0	orientechnologies/orientdb	OCreateClusterStatementExecutionTest	testWithNumber	assertTrue(db.getClusterIdByName(clusterName)>0);	assertEquals(1000,getClusterIdByName(clusterName));	36.3309440612793	0	0	1	0	0
117	0	orientechnologies/orientdb	OCreateClusterStatementExecutionTest	testBlob	assertTrue(db.getClusterIdByName(clusterName)>0);	assertNotNull(result);	37.61181688308716	0	0	1	0	0
118	0	orientechnologies/orientdb	OCreateClusterStatementExecutionTest	testIfNotExists	assertTrue(db.getClusterIdByName(clusterName)>0);	assertFalse(result.hasNext());	35.376041889190674	0	0	1	0	0
119	0	orientechnologies/orientdb	OCreateIndexStatementExecutionTest	testPlain	"assertNull(db.getMetadata().getIndexManager().getIndex(className+""STR""));"	"assertNull(db.getMetadata().getIndexManager().getIndex(""testPlain.name""));"	36.322991132736206	0	0	1	0	0
120	0	orientechnologies/orientdb	OCreateIndexStatementExecutionTest	testIfNotExists	"assertNull(db.getMetadata().getIndexManager().getIndex(className+""STR""));"	"assertNotNull(db.getMetadata().getIndexManager().getIndex(className + "".name""));"	26.134037017822266	0	0	1	0	0
121	0	orientechnologies/orientdb	OCreateLinkStatementExecutionTest	testBasic	assertTrue(result.hasNext());	assertEquals(true,focalClass.hasNext());	48.33927392959595	0	0	1	0	0
122	0	orientechnologies/orientdb	OCreateUserStatementExecutionTest	testPlain	assertTrue(result.hasNext());	assertTrue(result.hasnext());	41.11598205566406	0	0	1	0	0
123	0	orientechnologies/orientdb	OCreateSequenceStatementExecutionTest	testSimple	assertTrue(results.hasNext());	assertTrue(hasNext());	31.993054151535034	0	0	1	0	0
124	0	orientechnologies/orientdb	OCreateSequenceStatementExecutionTest	testIncrement	assertTrue(results.hasNext());	"assertNotNull(results.next().getProperty(""val""));"	32.40781807899475	0	0	1	0	0
125	0	orientechnologies/orientdb	OCreateSequenceStatementExecutionTest	testStart	assertTrue(results.hasNext());	assertFalse(results.hasNext());	29.723884105682373	0	0	1	0	0
126	0	orientechnologies/orientdb	OCreateSequenceStatementExecutionTest	testStartIncrement	assertTrue(results.hasNext());	"assertEquals(4,results.next().getProperty(""val""));"	33.33633899688721	0	0	1	0	0
127	0	orientechnologies/orientdb	OCreateSequenceStatementExecutionTest	testCreateSequenceIfNotExists	assertFalse(result.hasNext());	"assertFalse(db.getMetadata().getSequenceLibrary().exists(""SequenceIfNotExists""));"	37.74724006652832	0	0	1	0	0
128	0	orientechnologies/orientdb	OAlterClassStatementExecutionTest	testName1	assertNull(schema.getClass(className));	"assertNotNull(db.getMetadata().getSchema().getClass(""testName1_new""));"	37.52791976928711	0	0	1	0	0
129	0	orientechnologies/orientdb	OAlterClassStatementExecutionTest	testShortName	"assertEquals(className+""STR"",clazz.getShortName());"	"assertEquals(className + ""_new"",clazz.getShortName());"	34.09339642524719	0	0	1	0	0
130	0	orientechnologies/orientdb	OAlterClassStatementExecutionTest	testSuperclass	assertTrue(schema.getClass(className).getSuperClasses().contains(superclass));	assertEquals(1,getSuperClasses().size());	38.31440210342407	0	0	1	0	0
